Position,artists,track_name,Days,Top 10 (xTimes),Peak Position,Peak Position (xTimes),Peak Streams,Total Streams,viral_on_tiktok
86,lil nas x,montero (call me by your name),410,123.0,1,(x11),2378862,288187067,Да
87,french montana,unforgettable,501,136.0,1,(x7),1275953,287042302,Нет
88,drake,nonstop,478,69.0,1,(x7),5749019,286786239,Нет
89,post malone,candy paint,717,42.0,4,0,1836069,286217712,Нет
90,dram,broccoli,646,141.0,3,(x16),1079595,285106532,Нет
91,dua lipa,don't start now,646,47.0,4,0,1220899,284754771,Да
92,juice wrld,come & go,644,73.0,1,(x4),3220828,280531842,Нет
93,juice wrld,wishing well,625,65.0,1,(x6),2817191,277821416,Нет
94,dababy,bop,622,76.0,1,(x1),1601147,277705797,Да
95,lil uzi vert,20 min,1012,0.0,45,0,401156,277454899,Да
96,travis scott,butterfly effect,682,18.0,9,0,1568959,276763296,Нет
97,brenda lee,rockin' around the christmas tree,340,113.0,1,(x30),5771662,276529912,Нет
98,drake,knife talk,471,91.0,2,(x3),3908883,275693546,Нет
99,pop smoke,for the night,512,116.0,2,(x2),1450903,274720487,Нет
100,drake,fake love,525,121.0,1,(x15),1527349,274318587,Нет
101,internet money,lemonade,517,138.0,1,(x11),1437460,273391855,Нет
102,tyga,taste,486,54.0,3,(x1),1484893,272293130,Нет
103,future,mask off,441,107.0,2,(x29),1768762,271944410,Нет
104,olivia rodrigo,traitor,522,56.0,3,(x15),2709147,271379624,Нет
105,dababy,suge,516,51.0,3,(x4),1224726,270915921,Нет
106,sza,good days,604,83.0,1,(x3),1387122,270125295,Да
107,doja cat,need to know,460,72.0,3,(x3),1245936,268475081,Да
108,drake,money in the grave (drake ft. rick ross),467,79.0,1,(x6),2024475,265919957,Нет
109,mustard,ballin',656,4.0,10,0,986414,265117682,Нет
110,bryson tiller,don't,1008,37.0,7,0,649135,264444220,Нет
111,harry styles,adore you,633,18.0,1,(x1),1809594,264055553,Нет
112,imagine dragons,believer,745,5.0,9,0,898836,263375966,Нет
113,lauv,i like me better,930,0.0,30,0,571396,263177728,Нет
114,migos,bad and boujee,491,98.0,1,(x32),1816754,262086852,Нет
115,kyle,ispy,512,106.0,2,(x8),1336415,262041081,Нет
116,luis fonsi,despacito  remix,344,125.0,1,(x47),2129981,260702344,Нет
117,kodak black,zeze,402,103.0,1,(x16),2823276,260612786,Нет
118,lil uzi vert,the way life goes,834,21.0,4,0,1232419,260565170,Нет
119,khalid,better,519,14.0,7,0,1413872,259760668,Нет
120,sam hunt,body like a back road,703,0.0,12,0,790758,259538408,Нет
121,a boogie wit da hoodie,swervin,564,37.0,6,0,1154453,258648283,Нет
122,imagine dragons,thunder,724,0.0,16,0,723572,257758821,Нет
123,tones and i,dance monkey,539,23.0,6,0,1022885,256274759,Нет
124,the chainsmokers,don't let me down,568,141.0,4,0,981448,251672744,Нет
125,polo g,pop out,647,25.0,8,0,1046233,251658876,Нет
126,chris brown,no guidance,550,53.0,3,(x1),1259463,250362082,Нет
127,drake,passionfruit,622,51.0,1,(x13),2811262,249576463,Нет
128,steve lacy,dark red,513,0.0,11,0,649193,249198471,Да
129,juice wrld,armed and dangerous,756,10.0,9,0,1170042,248991383,Нет
130,camila cabello,havana,484,99.0,2,(x6),1184798,247086289,Нет
131,morgan wallen,wasted on you,687,10.0,1,(x1),1232815,246675467,Нет
132,drake,laugh now cry later,449,89.0,2,(x20),2600470,246389835,Нет
133,bruno mars,that's what i like,517,78.0,3,(x3),1236698,245642565,Нет
134,kendrick lamar,dna.,451,69.0,2,(x15),3633524,242841173,Нет
135,the weeknd,save your tears,692,49.0,2,(x4),1465508,242055670,Нет
136,polo g,martin & gina,702,0.0,21,0,553876,241128929,Нет
137,the weeknd,die for you,682,1.0,10,0,820834,240869086,Нет
138,eminem,godzilla,665,28.0,2,(x5),2573682,240271807,Нет
139,big sean,bounce back,531,79.0,3,(x7),1388544,239157563,Нет
140,steve lacy,bad habit,183,136.0,1,(x66),1691327,239087671,Да
141,jack harlow,whats poppin,519,89.0,2,(x12),1248272,238356467,Да
142,xxxtentacion,everybody dies in their nightmares,772,3.0,6,0,2023396,238214306,Нет
143,desiigner,panda,518,109.0,1,(x6),1652864,237739871,Нет
144,shawn mendes,señorita,400,77.0,1,(x26),1948638,236868842,Нет
145,fleetwood mac,dreams  2004 remaster,781,17.0,6,0,1032229,236167945,Нет
146,cardi b,bodak yellow,489,79.0,2,(x6),1383846,235788390,Нет
147,bobby helms,jingle bell rock,335,98.0,1,(x1),4516839,235335220,Да
148,drake,jumpman,584,134.0,2,(x2),929883,235129660,Нет
149,trevor daniel,falling,455,76.0,4,0,1101319,234818302,Да
150,bad bunny,dákiti,596,42.0,1,(x6),1499819,234636216,Нет
151,rihanna,needed me,494,154.0,2,(x3),1018495,233794067,Нет
152,5 seconds of summer,youngblood,608,0.0,12,0,944436,233302902,Нет
153,the killers,mr. brightside,877,0.0,35,0,407790,232977345,Нет
154,baby keem,family ties,487,29.0,3,(x1),1422177,232461442,Нет
155,doja cat,woman,489,26.0,7,0,864796,232370353,Да
156,arctic monkeys,505,692,0.0,13,0,510329,231800625,Нет
157,lil nas x,old town road  remix,317,95.0,1,(x30),3113535,229868299,Нет
158,dj khaled,i'm the one,332,112.0,2,(x29),2427536,227464533,Нет
159,drake,hotline bling,555,150.0,1,(x28),1506243,226915487,Нет
160,a boogie wit da hoodie,drowning,591,0.0,18,0,674840,225834058,Нет
161,xxxtentacion,changes,560,7.0,4,0,2449891,225063813,Нет
162,machine gun kelly,my ex's best friend,596,3.0,9,0,891324,223702831,Нет
163,bazzi,mine,510,51.0,3,(x4),1336329,223577524,Нет
164,zedd,the middle,561,45.0,5,0,1159767,223370198,Нет
165,justin bieber,sorry,466,131.0,1,(x53),1783498,222779216,Нет
166,conan gray,heather,647,13.0,8,0,888848,222474626,Нет
167,post malone,goodbyes (feat. young thug),329,91.0,1,(x7),2323437,220243023,Нет
168,xxxtentacion,look at me!,668,0.0,20,0,1035184,218130170,Нет
169,bad bunny,me porto bonito,237,154.0,2,(x27),1947674,217545422,Нет
170,j. cole,wet dreamz,1130,0.0,12,0,397175,217277232,Нет
171,andy williams,it's the most wonderful time of the year,342,72.0,3,(x2),3837208,214480695,Нет
172,jack harlow,whats poppin,444,77.0,6,0,1030175,212620780,Да
173,lewis capaldi,before you go,672,0.0,39,0,558202,211623667,Нет
174,juice wrld,lean wit me,671,1.0,8,0,992697,209772076,Нет
175,tame impala,the less i know the better,893,0.0,103,0,323134,209554986,Нет
176,g-eazy,"eazy  me, myself & i",513,148.0,2,(x12),997340,208480098,Нет
177,bad bunny,tití me preguntó,237,151.0,3,(x11),1885979,207857104,Нет
178,twenty one pilots,ride,708,65.0,4,0,824424,207848346,Нет
179,kendrick lamar,all the stars,404,78.0,2,(x10),1794893,207519025,Нет
180,twenty one pilots,stressed out,706,90.0,3,(x2),835612,207439306,Нет
181,billie eilish,happier than ever,459,30.0,3,(x12),1688659,207031225,Да
182,aminé,caroline,537,77.0,6,0,861158,206635412,Нет
183,6ix9ine,fefe,271,66.0,2,(x20),2188635,206222122,Нет
184,drake,too good,359,150.0,2,(x19),1092508,205088227,Нет
185,"tyler, the creator",earfquake,526,34.0,1,(x7),2210014,204484344,Нет
186,khalid,love lies,445,14.0,8,0,1088271,204075140,Нет
187,justin bieber,peaches,312,58.0,1,(x10),2181089,203494777,Нет
188,kendrick lamar,money trees,726,0.0,38,0,481011,203375167,Нет
189,young thug,the london,401,49.0,1,(x3),2397579,203093189,Нет
190,future,low life,604,0.0,11,0,670545,202769617,Нет
191,panic! at the disco,high hopes,535,0.0,12,0,862030,201888489,Нет
192,saint jhn,roses  imanbek remix,431,47.0,5,0,1009144,201135462,Нет
193,powfu,death bed,478,7.0,9,0,797933,200371352,Нет
194,rae sremmurd,black beatles,384,82.0,1,(x21),2318636,200178133,Нет
195,rihanna,work,408,91.0,1,(x62),1843176,199973584,Нет
196,billie eilish,everything i wanted,435,42.0,1,(x4),2128318,199922212,Нет
197,jonas brothers,sucker,414,30.0,1,(x11),3105964,199695180,Нет
198,rich the kid,plug walk,417,29.0,6,0,1341514,198858962,Нет
199,justin bieber,love yourself,458,138.0,1,(x24),1333001,198773307,Нет
200,migos,slippery,477,0.0,17,0,701264,197966789,Нет
201,21 savage,a lot,412,24.0,2,(x1),1525801,197950103,Нет
202,flipp dinero,leave me alone,418,12.0,10,0,997477,197450612,Нет
203,dan + shay,tequila,723,0.0,48,0,483056,196958667,Нет
204,bryson tiller,exchange,837,0.0,22,0,452260,196861471,Нет
205,twenty one pilots,heathens,410,100.0,3,(x34),1168637,195918435,Нет
206,doja cat,streets,477,57.0,3,(x12),1024708,195884808,Да
207,wham!,last christmas,315,56.0,4,0,3525042,195381527,Нет
208,jack harlow,first class,231,77.0,1,(x11),5962326,195314542,Нет
209,fetty wap,trap queen,622,159.0,1,(x31),844118,194792972,Нет
210,the weeknd,can't feel my face,543,142.0,1,(x52),1053578,194406860,Нет
211,bruno mars,leave the door open,400,52.0,2,(x3),1765144,193296752,Нет
212,kodak black,roll in peace,518,0.0,21,0,985417,192647458,Нет
213,the neighbourhood,daddy issues,705,0.0,50,0,359758,192551331,Да
214,morgan wallen,more than my hometown,697,0.0,18,0,698510,191448082,Нет
215,gucci mane,wake up in the sky,340,14.0,6,0,1070430,189926403,Нет
216,marshmello,silence,468,16.0,7,0,958742,189144242,Нет
217,michael bublé,it's beginning to look a lot like christmas,357,38.0,3,(x1),2978474,187463596,Нет
218,maroon 5,girls like you,383,20.0,6,0,1263800,186579571,Нет
219,justin bieber,what do you mean?,413,153.0,1,(x24),1358577,185795808,Нет
220,the weeknd,call out my name,471,21.0,1,(x6),3490888,185191010,Нет
221,børns,electric love,737,0.0,39,0,460526,185017224,Нет
222,nf,let you down,480,4.0,9,0,829153,184436690,Нет
223,fifth harmony,work from home,420,116.0,3,(x21),1004803,184122003,Нет
224,drake,controlla,400,93.0,4,0,1020036,183609837,Нет
225,morgan wallen,chasin' you,687,0.0,47,0,412670,183121183,Нет
226,ariana grande,santa tell me,348,26.0,5,0,2847060,182490361,Нет
227,ed sheeran,thinking out loud,792,118.0,1,(x3),665278,182153495,Нет
228,pop smoke,what you know bout love,422,44.0,5,0,945575,182024316,Нет
229,lil mosey,noticed,531,0.0,17,0,836165,181647697,Нет
230,mike posner,i took a pill in ibiza  seeb remix,442,91.0,2,(x1),912432,181197216,Нет
231,ed sheeran,perfect,488,0.0,11,0,931316,180975541,Нет
232,ariana grande,no tears left to cry,384,5.0,6,0,1783330,180563889,Нет
233,chance the rapper,no problem,568,0.0,13,0,695093,180053419,Нет
234,mustard,pure water,396,0.0,11,0,905428,180042907,Нет
235,dan + shay,speechless,662,0.0,67,0,373102,179301739,Нет
236,the chainsmokers,roses,520,94.0,5,0,772979,178699372,Нет
237,khalid,talk,341,42.0,5,0,1284719,178662883,Нет
238,g,eazy  no limit,373,79.0,2,(x8),1151926,178639729,Нет
239,21 savage,x,555,0.0,14,0,597896,178576237,Нет
240,surf curse,freaks,556,0.0,29,0,466842,178535641,Нет
241,demi lovato,sorry not sorry,379,35.0,6,0,1009557,177157747,Нет
242,billie eilish,bury a friend,364,16.0,3,(x2),2139874,176834584,Нет
243,kodak black,tunnel vision,396,38.0,5,0,1173162,176688536,Нет
244,surfaces,sunday best,412,0.0,13,0,751886,176430872,Да
245,sleepy hallow,2055,454,12.0,7,0,826350,176244822,Нет
246,dan + shay,"10,000 hours",465,21.0,2,(x3),2073482,175930281,Нет
247,migos,stir fry,336,60.0,2,(x12),1499177,175630677,Нет
248,a boogie wit da hoodie,look back at it,366,22.0,8,0,1146596,175483878,Нет
249,justin bieber,intentions,328,42.0,2,(x1),1901883,175135180,Нет
250,post malone,go flex,673,0.0,19,0,687250,174710816,Нет
251,the walters,i love you so,431,38.0,7,0,683985,174547021,Да
252,ed sheeran,bad habits,350,49.0,7,0,1259918,174488164,Да
253,a$ap ferg,plain jane,408,22.0,6,0,929255,174255086,Нет
254,famous dex,pick it up,421,0.0,13,0,800864,173990426,Нет
255,major lazer,lean on,588,142.0,2,(x7),681007,173817845,Нет
256,elton john,cold heart  pnau remix,408,1.0,9,0,683288,173542648,Нет
257,dua lipa,new rules,399,0.0,11,0,783946,173328947,Нет
258,ed sheeran,shivers,399,6.0,6,0,980767,173225595,Нет
259,mac miller,the spins,612,0.0,54,0,369869,173209349,Нет
260,adele,easy on me,246,73.0,1,(x29),5435431,173180228,Нет
261,ariana grande,positions,333,69.0,1,(x25),2805107,172797966,Нет
262,tate mcrae,you broke me first,503,0.0,16,0,664700,172703722,Нет
263,kodak black,super gremlin,346,117.0,2,(x9),1054999,171909115,Нет
264,lil nas x,panini,249,67.0,1,(x2),2147076,171512571,Да
265,drake,way 2 sexy,280,68.0,1,(x12),4962771,170202629,Нет
266,roddy ricch,high fashion,354,27.0,4,0,1118927,169149991,Нет
267,ed sheeran,i don't care,323,54.0,1,(x7),3107778,168839409,Нет
268,billie eilish,ocean eyes,623,0.0,61,0,410592,168543006,Нет
269,"tyler, the creator",see you again,565,0.0,24,0,499844,168256802,Нет
270,migos,walk it talk it,358,14.0,3,(x1),1584838,168214275,Нет
271,lady gaga,shallow,403,7.0,6,0,1310071,167883840,Нет
272,drake,jimmy cooks,195,107.0,1,(x1),3642078,166499191,Нет
273,doja cat,say so,308,51.0,2,(x1),1262821,165898476,Да
274,fetty wap,679,501,111.0,2,(x14),850028,165220739,Нет
275,kali uchis,telepatía,395,44.0,3,(x8),1064644,164803198,Да
276,calboy,envy me,440,0.0,22,0,669228,164149940,Нет
277,justin bieber,ghost,399,4.0,9,0,895735,163964781,Да
278,adele,hello,404,89.0,1,(x19),2758752,163937424,Нет
279,joji,glimpse of us,201,83.0,1,(x16),2474076,163315058,Да
280,burl ives,a holly jolly christmas  single version,278,31.0,5,0,4242454,163198351,Нет
281,julia michaels,issues,414,0.0,11,0,959567,163082925,Нет
282,kate bush,running up that hill (a deal with god),182,98.0,1,(x30),2430143,163034803,Да
283,migos,tshirt,393,23.0,6,0,1068559,162318539,Нет
284,giveon,heartbreak anniversary,371,30.0,8,0,950623,162181516,Нет
285,zayn,i don’t wanna live forever (fifty shades darker),378,72.0,3,(x14),1195770,161895465,Нет
286,drake,toosie slide,239,79.0,1,(x20),2670968,161667752,Да
287,kanye west,father stretch my hands pt. 1,607,12.0,4,0,855048,161479699,Нет
288,zedd,stay,317,4.0,9,0,977390,161032066,Нет
289,major lazer,cold water,274,99.0,1,(x10),1389715,160700352,Нет
290,lil nas x,thats what i want,358,23.0,2,(x1),1896424,160369392,Да
291,future,wait for u,243,24.0,2,(x1),1885004,160359546,Нет
292,lil uzi vert,sanguine paradise,382,30.0,6,0,1205774,160244733,Нет
293,maroon 5,memories,372,17.0,6,0,1118361,159686092,Нет
294,lil pump,gucci gang,242,90.0,2,(x51),1574100,159368635,Нет
295,lil uzi vert,money longer,648,0.0,33,0,440383,159142673,Нет
296,dj snake,let me love you,300,107.0,3,(x16),1147152,158366154,Нет
297,hailee steinfeld,starving,423,36.0,9,0,765280,158320524,Нет
298,jp saxe,if the world was ending,520,0.0,43,0,444524,156928093,Нет
299,the chainsmokers,something just like this,364,29.0,2,(x2),1478265,156839599,Нет
300,olivia rodrigo,favorite crime,384,32.0,4,0,1886343,156762362,Нет
301,chris stapleton,tennessee whiskey,747,0.0,34,0,440951,156707370,Нет
302,gucci mane,i get the bag,335,13.0,7,0,931108,156184444,Нет
303,masked wolf,astronaut in the ocean,290,58.0,4,0,1028047,155387513,Нет
304,khalid,saturday nights,391,0.0,13,0,965483,154969059,Нет
305,h.e.r.,best part,635,0.0,53,0,483402,154582091,Нет
306,rob $tone,chill bill,442,4.0,10,0,686873,154052440,Нет
307,ynw melly,223's,325,45.0,4,0,1161395,152984591,Нет
308,hozier,take me to church,644,147.0,1,(x58),669026,152777306,Нет
309,ed sheeran,beautiful people,309,39.0,3,(x1),1615072,152409919,Нет
310,ariana grande,"break up with your girlfriend, i'm bored",235,49.0,1,(x4),3498779,152246486,Нет
311,playboi carti,magnolia,365,1.0,10,0,868222,151502606,Нет
312,beach house,space song,549,0.0,55,0,434347,151348745,Да
313,jay,z  ni**as in paris,995,0.0,97,0,318805,151213181,Нет
314,calvin harris,this is what you came for,288,106.0,2,(x1),975411,149620244,Нет
315,ariana grande,34+35,291,63.0,1,(x5),2698854,148864140,Нет
316,don toliver,after party,400,0.0,11,0,768932,148828688,Да
317,lizzo,about damn time,243,51.0,3,(x1),1276164,148776441,Да
318,calvin harris,slide,281,15.0,8,0,967282,148615807,Нет
319,juice wrld,righteous,333,24.0,2,(x6),2690579,148152203,Нет
320,the scotts,the scotts,237,70.0,1,(x13),3345119,147793519,Нет
321,the kid laroi,without you,338,33.0,6,0,769614,147434939,Нет
322,young thug,pick up the phone,552,0.0,29,0,455209,146950542,Нет
323,zach bryan,something in the orange,251,20.0,4,0,992100,146934063,Нет
324,justin timberlake,"can't stop the feeling! (original song from dreamworks animation's ""trolls"")",437,60.0,5,0,936011,146405505,Нет
325,shawn mendes,stitches,535,82.0,5,0,668552,146222899,Нет
326,pop smoke,dior,532,0.0,15,0,793436,145804298,Нет
327,doja cat,ain't shit,356,39.0,4,0,1413486,145660715,Да
328,lil tjay,calling my phone,301,61.0,1,(x8),1860203,145633110,Нет
329,charlie puth,attention,346,0.0,16,0,797196,145299789,Нет
330,lil skies,nowadays,441,0.0,24,0,626292,144878462,Нет
331,doja cat,you right,386,13.0,4,0,1574035,144688259,Нет
332,drake,portland,331,26.0,2,(x5),2385233,144664417,Нет
333,bing crosby,white christmas,280,17.0,1,(x1),2836396,144606354,Нет
334,harry styles,late night talking,219,29.0,2,(x10),3721821,144096811,Нет
335,jay rock,king's dead,292,31.0,7,0,1146306,144088666,Нет
336,cardi b,up,247,76.0,2,(x4),1133283,143743718,Да
337,bad bunny,mia,287,22.0,2,(x5),2409584,143656931,Нет
338,hailee steinfeld,let me go,357,0.0,17,0,728233,143350902,Нет
339,the weeknd,i feel it coming,331,21.0,5,0,1157486,143319177,Нет
340,sia,cheap thrills,371,9.0,9,0,822906,142986096,Нет
341,sza,love galore,426,0.0,23,0,645447,142655912,Нет
342,lukas graham,7 years,414,79.0,2,(x8),972767,142277410,Нет
343,morgan wallen,you proof,230,6.0,9,0,1723507,141716685,Нет
344,gnash,"i hate u, i love u",385,0.0,16,0,563858,141690287,Нет
345,rae sremmurd,swang,393,0.0,21,0,680384,141632137,Да
346,nat king cole,the christmas song (merry christmas to you),232,12.0,5,0,3214273,141071360,Нет
347,dean lewis,be alright,453,0.0,19,0,671232,141016791,Нет
348,post malone,i like you (a happier song),208,96.0,2,(x1),2000190,140872042,Нет
349,lil xan,betrayed,374,0.0,21,0,669421,140250610,Нет
350,yot club,ykwim?,504,0.0,58,0,351933,139804345,Нет
351,kendrick lamar,loyalty. feat. rihanna.,330,14.0,4,0,2725761,139730182,Нет
352,sam smith,dancing with a stranger,328,3.0,10,0,1143794,138760630,Нет
353,doja cat,get into it (yuh),391,0.0,16,0,751498,138640495,Да
354,migos,motorsport,311,11.0,6,0,1088075,138467640,Нет
355,carolina gaitán,la gaita  we don't talk about bruno,201,104.0,1,(x55),1486869,138398595,Нет
356,harry styles,falling,501,3.0,4,0,1454982,138072456,Нет
357,dj khaled,wild thoughts,231,71.0,1,(x1),1578440,138033504,Нет
358,lil uzi vert,you was right,501,0.0,26,0,490509,138001040,Нет
359,kiiara,gold,403,0.0,18,0,582552,137920503,Нет
360,kanye west,heartless,439,0.0,38,0,463393,137403023,Нет
361,luke combs,forever after all,403,7.0,2,(x5),2346240,137048398,Нет
362,mark ronson,uptown funk,531,127.0,1,(x56),778194,136885294,Нет
363,frank sinatra,let it snow! let it snow! let it snow!,305,8.0,8,0,2646892,136448853,Нет
364,y2k,lalala,321,0.0,11,0,820166,136394278,Нет
365,ski mask the slump god,faucet failure,415,0.0,25,0,671084,136293354,Да
366,jack ü,where are ü now,447,118.0,3,(x1),564731,135999812,Нет
367,flo rida,my house,411,64.0,4,0,787490,135782448,Нет
368,noah cyrus,july,509,0.0,56,0,438400,135753612,Нет
369,lil tjay,f.n,442,0.0,23,0,703283,135359031,Нет
370,dj khaled,popstar,317,26.0,1,(x2),2013630,135192435,Нет
371,saweetie,best friend,299,1.0,10,0,732662,135156338,Нет
372,bad bunny,efecto,236,16.0,9,0,1315548,134743830,Да
373,the weeknd,save your tears,327,8.0,2,(x1),1723905,134482363,Нет
374,ariana grande,side to side,332,75.0,5,0,875628,134449731,Нет
375,bad bunny,yonaguni,347,14.0,3,(x2),1727530,133665412,Нет
376,liam payne,strip that down,311,0.0,11,0,770674,133182143,Нет
377,the weeknd,earned it (fifty shades of grey),532,103.0,2,(x2),612611,132827332,Нет
378,drake,fair trade,301,33.0,2,(x2),5616734,132758753,Нет
379,morgan wallen,sand in my boots,460,2.0,4,0,1020974,132664367,Нет
380,trippie redd,miss the rage,349,8.0,3,(x6),1699784,132399703,Нет
381,bruno mars,24k magic,349,13.0,5,0,937406,132118188,Нет
382,lil nas x,old town road,175,50.0,1,(x2),2450954,132031403,Да
383,zayn,pillowtalk,297,84.0,1,(x10),1277421,131983424,Нет
384,bts,dynamite,332,14.0,3,(x3),1824254,131917493,Нет
385,kygo,it ain't me,272,28.0,3,(x3),1169170,130487216,Нет
386,dababy,vibez,285,2.0,4,0,1371845,129872425,Да
387,russ,losin control,512,0.0,58,0,379457,129835284,Нет
